track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
the little man who wasn't there,glenn miller,0.734,0.422,10.0,-10.772,1.0,0.175,0.868,0.0371,0.114,0.577,88.387,audio_features,3ZDS2we70XCOEndkITg8Ft,spotify:track:3ZDS2we70XCOEndkITg8Ft,https://api.spotify.com/v1/tracks/3ZDS2we70XCOEndkITg8Ft,https://api.spotify.com/v1/audio-analysis/3ZDS2we70XCOEndkITg8Ft,182827.0,4.0
american psycho,misfits,0.484,0.995,7.0,-5.3,1.0,0.102,0.000248,0.00113,0.381,0.0771,109.556,audio_features,77v5yDwMLiJlIsHNJQxXrY,spotify:track:77v5yDwMLiJlIsHNJQxXrY,https://api.spotify.com/v1/tracks/77v5yDwMLiJlIsHNJQxXrY,https://api.spotify.com/v1/audio-analysis/77v5yDwMLiJlIsHNJQxXrY,126907.0,4.0
somebody that i used to know,elliott smith,0.576,0.367,1.0,-14.785,1.0,0.03,0.432,2.24e-06,0.124,0.77,108.446,audio_features,4xfAVJL8R7mVYbDk8a9xOY,spotify:track:4xfAVJL8R7mVYbDk8a9xOY,https://api.spotify.com/v1/tracks/4xfAVJL8R7mVYbDk8a9xOY,https://api.spotify.com/v1/audio-analysis/4xfAVJL8R7mVYbDk8a9xOY,129333.0,4.0
juke box blues,june carter cash,0.854,0.356,6.0,-8.78,1.0,0.0609,0.863,0.000675,0.131,0.845,113.283,audio_features,5x46pk7OZUv1WWiP6iEdMy,spotify:track:5x46pk7OZUv1WWiP6iEdMy,https://api.spotify.com/v1/tracks/5x46pk7OZUv1WWiP6iEdMy,https://api.spotify.com/v1/audio-analysis/5x46pk7OZUv1WWiP6iEdMy,138600.0,4.0
"karn evil 9 1st impression, pt. 1","emerson, lake & palmer",0.385,0.817,1.0,-9.073,1.0,0.0659,0.267,0.00191,0.0756,0.683,128.391,audio_features,0nDQu5i6B93GvUJH8iJ0y9,spotify:track:0nDQu5i6B93GvUJH8iJ0y9,https://api.spotify.com/v1/tracks/0nDQu5i6B93GvUJH8iJ0y9,https://api.spotify.com/v1/audio-analysis/0nDQu5i6B93GvUJH8iJ0y9,285760.0,4.0
another love song,queens of the stone age,0.376,0.756,9.0,-4.93,1.0,0.0657,0.136,0.0155,0.376,0.454,146.114,audio_features,5HjEC3NlSzKsVKmqnhXrum,spotify:track:5HjEC3NlSzKsVKmqnhXrum,https://api.spotify.com/v1/tracks/5HjEC3NlSzKsVKmqnhXrum,https://api.spotify.com/v1/audio-analysis/5HjEC3NlSzKsVKmqnhXrum,195558.0,4.0
immortal,adema,0.482,0.938,6.0,-4.727,1.0,0.0978,0.000254,0.177,0.0493,0.392,102.852,audio_features,4pawqkNZXTbqrYAd0I5Wtb,spotify:track:4pawqkNZXTbqrYAd0I5Wtb,https://api.spotify.com/v1/tracks/4pawqkNZXTbqrYAd0I5Wtb,https://api.spotify.com/v1/audio-analysis/4pawqkNZXTbqrYAd0I5Wtb,249893.0,4.0
stop! in the name of love,the supremes,0.612,0.444,0.0,-12.752,1.0,0.0293,0.531,0.0,0.126,0.503,114.961,audio_features,52FlwUMMDnTK8TGkCag9Jd,spotify:track:52FlwUMMDnTK8TGkCag9Jd,https://api.spotify.com/v1/tracks/52FlwUMMDnTK8TGkCag9Jd,https://api.spotify.com/v1/audio-analysis/52FlwUMMDnTK8TGkCag9Jd,172907.0,4.0
bewildered,the notting hillbillies,0.463,0.232,5.0,-17.463,0.0,0.0339,0.859,0.000265,0.189,0.537,116.062,audio_features,3OhkFJSKPlrqjozVsBSami,spotify:track:3OhkFJSKPlrqjozVsBSami,https://api.spotify.com/v1/tracks/3OhkFJSKPlrqjozVsBSami,https://api.spotify.com/v1/audio-analysis/3OhkFJSKPlrqjozVsBSami,155493.0,3.0
hyper,sticky fingers,0.363,0.835,3.0,-5.08,1.0,0.127,0.284,0.0,0.147,0.579,151.899,audio_features,76Xb86q5pka3wAHOz9iZbu,spotify:track:76Xb86q5pka3wAHOz9iZbu,https://api.spotify.com/v1/tracks/76Xb86q5pka3wAHOz9iZbu,https://api.spotify.com/v1/audio-analysis/76Xb86q5pka3wAHOz9iZbu,206134.0,4.0
walk on by,diana krall,0.416,0.191,10.0,-16.699,1.0,0.0274,0.689,0.000979,0.0751,0.353,94.147,audio_features,4jZRI1v2LLaDTshDW9qruu,spotify:track:4jZRI1v2LLaDTshDW9qruu,https://api.spotify.com/v1/tracks/4jZRI1v2LLaDTshDW9qruu,https://api.spotify.com/v1/audio-analysis/4jZRI1v2LLaDTshDW9qruu,301587.0,4.0
dig,mudvayne,0.623,0.983,11.0,-3.548,0.0,0.151,9.62e-05,0.0617,0.261,0.271,134.975,audio_features,7vrLphPq4yjaX7jiDdd2Nc,spotify:track:7vrLphPq4yjaX7jiDdd2Nc,https://api.spotify.com/v1/tracks/7vrLphPq4yjaX7jiDdd2Nc,https://api.spotify.com/v1/audio-analysis/7vrLphPq4yjaX7jiDdd2Nc,162293.0,4.0
love it if we made it,the 1975,0.472,0.745,4.0,-5.297,1.0,0.0356,0.000607,2.74e-05,0.0957,0.0631,180.06,audio_features,6WmIyn2fx1PKQ0XDpYj4VR,spotify:track:6WmIyn2fx1PKQ0XDpYj4VR,https://api.spotify.com/v1/tracks/6WmIyn2fx1PKQ0XDpYj4VR,https://api.spotify.com/v1/audio-analysis/6WmIyn2fx1PKQ0XDpYj4VR,252926.0,4.0
listen to your heart,little river band,0.418,0.576,4.0,-11.106,1.0,0.027,0.0538,4.14e-06,0.111,0.489,165.73,audio_features,5n7JHKyKIJXMXXv10f1AYk,spotify:track:5n7JHKyKIJXMXXv10f1AYk,https://api.spotify.com/v1/tracks/5n7JHKyKIJXMXXv10f1AYk,https://api.spotify.com/v1/audio-analysis/5n7JHKyKIJXMXXv10f1AYk,292400.0,4.0
please don't tell me how the story ends,freddy fender,0.546,0.362,0.0,-9.632,1.0,0.027,0.685,0.275,0.106,0.468,89.378,audio_features,7noRPNdNTDJSHIvAl5xQL2,spotify:track:7noRPNdNTDJSHIvAl5xQL2,https://api.spotify.com/v1/tracks/7noRPNdNTDJSHIvAl5xQL2,https://api.spotify.com/v1/audio-analysis/7noRPNdNTDJSHIvAl5xQL2,155444.0,4.0
love me tomorrow,boz scaggs,0.74,0.701,9.0,-5.975,0.0,0.0329,0.207,0.000314,0.0667,0.908,80.162,audio_features,0sn0aGPqfKWHjPkcVls0mu,spotify:track:0sn0aGPqfKWHjPkcVls0mu,https://api.spotify.com/v1/tracks/0sn0aGPqfKWHjPkcVls0mu,https://api.spotify.com/v1/audio-analysis/0sn0aGPqfKWHjPkcVls0mu,195240.0,4.0
build your nest,"earth, wind & fire",0.659,0.788,1.0,-11.527,0.0,0.0776,0.254,0.00211,0.066,0.865,93.779,audio_features,4IMN8BxmU5Gbpz68Xw9lFw,spotify:track:4IMN8BxmU5Gbpz68Xw9lFw,https://api.spotify.com/v1/tracks/4IMN8BxmU5Gbpz68Xw9lFw,https://api.spotify.com/v1/audio-analysis/4IMN8BxmU5Gbpz68Xw9lFw,198933.0,4.0
o holy night,nat king cole,0.123,0.261,8.0,-11.245,1.0,0.0288,0.718,0.0,0.14,0.136,82.062,audio_features,0cPEELgVDbmpzEttvNGAsJ,spotify:track:0cPEELgVDbmpzEttvNGAsJ,https://api.spotify.com/v1/tracks/0cPEELgVDbmpzEttvNGAsJ,https://api.spotify.com/v1/audio-analysis/0cPEELgVDbmpzEttvNGAsJ,176227.0,3.0
america (feat. p.o.d.),santana,0.438,0.932,5.0,-3.431,1.0,0.0425,0.00186,0.00021,0.186,0.488,105.084,audio_features,43uplr4bhcs8FJIU5KBzB1,spotify:track:43uplr4bhcs8FJIU5KBzB1,https://api.spotify.com/v1/tracks/43uplr4bhcs8FJIU5KBzB1,https://api.spotify.com/v1/audio-analysis/43uplr4bhcs8FJIU5KBzB1,275067.0,4.0
for you for me for evermore,ella fitzgerald,0.194,0.168,8.0,-16.483,1.0,0.0344,0.918,0.00116,0.108,0.111,84.261,audio_features,6RZYkCi73gcjPdDOPgoKJy,spotify:track:6RZYkCi73gcjPdDOPgoKJy,https://api.spotify.com/v1/tracks/6RZYkCi73gcjPdDOPgoKJy,https://api.spotify.com/v1/audio-analysis/6RZYkCi73gcjPdDOPgoKJy,205547.0,4.0
blue and sentimental,julian dash,0.484,0.0291,10.0,-23.363,1.0,0.0459,0.961,0.474,0.115,0.379,98.434,audio_features,1axzRYUUASTfN4OOtrjfQd,spotify:track:1axzRYUUASTfN4OOtrjfQd,https://api.spotify.com/v1/tracks/1axzRYUUASTfN4OOtrjfQd,https://api.spotify.com/v1/audio-analysis/1axzRYUUASTfN4OOtrjfQd,389893.0,4.0
powaful impak!,black moon,0.851,0.504,11.0,-14.857,1.0,0.3,0.00431,0.000143,0.349,0.535,94.245,audio_features,63U9mJpffoQILdkb1VWDK8,spotify:track:63U9mJpffoQILdkb1VWDK8,https://api.spotify.com/v1/tracks/63U9mJpffoQILdkb1VWDK8,https://api.spotify.com/v1/audio-analysis/63U9mJpffoQILdkb1VWDK8,251440.0,4.0
when i had you with me,the beautiful girls,0.616,0.264,2.0,-17.737,1.0,0.0396,0.793,0.4,0.0999,0.582,142.959,audio_features,2Mc2hs0q4s2tOs9EPzGn9U,spotify:track:2Mc2hs0q4s2tOs9EPzGn9U,https://api.spotify.com/v1/tracks/2Mc2hs0q4s2tOs9EPzGn9U,https://api.spotify.com/v1/audio-analysis/2Mc2hs0q4s2tOs9EPzGn9U,185295.0,4.0
rich game,gucci mane,0.731,0.493,10.0,-8.978,1.0,0.0648,0.057,0.0,0.105,0.115,140.056,audio_features,2qAjQGlYOllN6tll1pgmLm,spotify:track:2qAjQGlYOllN6tll1pgmLm,https://api.spotify.com/v1/tracks/2qAjQGlYOllN6tll1pgmLm,https://api.spotify.com/v1/audio-analysis/2qAjQGlYOllN6tll1pgmLm,205714.0,4.0
before the storm,jonas brothers,0.401,0.715,2.0,-5.402,1.0,0.0379,0.00582,0.0,0.117,0.327,149.411,audio_features,531muHgVZoRgYXK5Qb59Pz,spotify:track:531muHgVZoRgYXK5Qb59Pz,https://api.spotify.com/v1/tracks/531muHgVZoRgYXK5Qb59Pz,https://api.spotify.com/v1/audio-analysis/531muHgVZoRgYXK5Qb59Pz,266467.0,4.0
99 year blues,hot tuna,0.417,0.469,11.0,-13.738,1.0,0.0341,0.644,0.0822,0.121,0.772,181.072,audio_features,7GQZYw55Juuq3tntjZJzZt,spotify:track:7GQZYw55Juuq3tntjZJzZt,https://api.spotify.com/v1/tracks/7GQZYw55Juuq3tntjZJzZt,https://api.spotify.com/v1/audio-analysis/7GQZYw55Juuq3tntjZJzZt,239107.0,4.0
tennessee flat top box,rosanne cash,0.618,0.767,5.0,-12.015,0.0,0.0307,0.216,5.61e-05,0.219,0.964,97.522,audio_features,3zyj0RajXg2w2Bnn773mnW,spotify:track:3zyj0RajXg2w2Bnn773mnW,https://api.spotify.com/v1/tracks/3zyj0RajXg2w2Bnn773mnW,https://api.spotify.com/v1/audio-analysis/3zyj0RajXg2w2Bnn773mnW,195080.0,4.0
feel something,jaymes young,0.61,0.59,11.0,-7.325,0.0,0.0362,0.694,2.32e-06,0.15,0.352,137.838,audio_features,0vMI3AJPQMjytAu8XMWr65,spotify:track:0vMI3AJPQMjytAu8XMWr65,https://api.spotify.com/v1/tracks/0vMI3AJPQMjytAu8XMWr65,https://api.spotify.com/v1/audio-analysis/0vMI3AJPQMjytAu8XMWr65,217400.0,4.0
cold blows the wind,ween,0.439,0.456,4.0,-9.243,0.0,0.0321,0.235,1.61e-06,0.419,0.259,121.679,audio_features,3TMxeYDa7yOKAxMUaCQWv4,spotify:track:3TMxeYDa7yOKAxMUaCQWv4,https://api.spotify.com/v1/tracks/3TMxeYDa7yOKAxMUaCQWv4,https://api.spotify.com/v1/audio-analysis/3TMxeYDa7yOKAxMUaCQWv4,267627.0,3.0
hold on,michael bublé,0.496,0.423,5.0,-7.318,1.0,0.0282,0.277,0.0,0.105,0.258,131.682,audio_features,0Xwfq9T1CruynQcHKY1hs4,spotify:track:0Xwfq9T1CruynQcHKY1hs4,https://api.spotify.com/v1/tracks/0Xwfq9T1CruynQcHKY1hs4,https://api.spotify.com/v1/audio-analysis/0Xwfq9T1CruynQcHKY1hs4,245200.0,4.0
sweet savannah sue,louis armstrong,0.56,0.3,2.0,-13.14,0.0,0.0876,0.959,0.00705,0.242,0.619,157.671,audio_features,6Fv9XrvIuyTRgO23feIvPJ,spotify:track:6Fv9XrvIuyTRgO23feIvPJ,https://api.spotify.com/v1/tracks/6Fv9XrvIuyTRgO23feIvPJ,https://api.spotify.com/v1/audio-analysis/6Fv9XrvIuyTRgO23feIvPJ,192600.0,4.0
i was drunk,alejandro escovedo,0.365,0.719,4.0,-7.946,1.0,0.0453,0.132,0.00859,0.144,0.465,171.81,audio_features,5ZPTxsJKpJDAeRCNM4ifTt,spotify:track:5ZPTxsJKpJDAeRCNM4ifTt,https://api.spotify.com/v1/tracks/5ZPTxsJKpJDAeRCNM4ifTt,https://api.spotify.com/v1/audio-analysis/5ZPTxsJKpJDAeRCNM4ifTt,293120.0,3.0
follow me,muse,0.279,0.817,3.0,-5.801,1.0,0.0586,0.00126,2.01e-05,0.141,0.0842,135.258,audio_features,6r9tjMWLv8fNdZKKTnqCEr,spotify:track:6r9tjMWLv8fNdZKKTnqCEr,https://api.spotify.com/v1/tracks/6r9tjMWLv8fNdZKKTnqCEr,https://api.spotify.com/v1/audio-analysis/6r9tjMWLv8fNdZKKTnqCEr,230920.0,4.0
kill the medicine man,ron gallo,0.41,0.823,9.0,-6.237,1.0,0.0655,0.0554,0.000215,0.154,0.284,90.471,audio_features,5FZtl28q6FXkuDeAWxHzjx,spotify:track:5FZtl28q6FXkuDeAWxHzjx,https://api.spotify.com/v1/tracks/5FZtl28q6FXkuDeAWxHzjx,https://api.spotify.com/v1/audio-analysis/5FZtl28q6FXkuDeAWxHzjx,153717.0,4.0
i could believe anything,david lee murphy,0.728,0.713,7.0,-4.056,1.0,0.0286,0.0108,0.0026,0.0857,0.759,126.88,audio_features,7wCaeyWeyBzYbO5bxinQlM,spotify:track:7wCaeyWeyBzYbO5bxinQlM,https://api.spotify.com/v1/tracks/7wCaeyWeyBzYbO5bxinQlM,https://api.spotify.com/v1/audio-analysis/7wCaeyWeyBzYbO5bxinQlM,216360.0,4.0
i don't hurt anymore,hank locklin,0.647,0.447,3.0,-9.964,1.0,0.0371,0.921,3e-06,0.146,0.707,115.166,audio_features,6avRZyfcRndnnbyPtdZQjq,spotify:track:6avRZyfcRndnnbyPtdZQjq,https://api.spotify.com/v1/tracks/6avRZyfcRndnnbyPtdZQjq,https://api.spotify.com/v1/audio-analysis/6avRZyfcRndnnbyPtdZQjq,76427.0,3.0
runaway,half•alive,0.676,0.594,0.0,-5.588,0.0,0.053,0.00324,0.000912,0.0645,0.602,131.922,audio_features,0Dit4xsY3yFY73b19VxsYE,spotify:track:0Dit4xsY3yFY73b19VxsYE,https://api.spotify.com/v1/tracks/0Dit4xsY3yFY73b19VxsYE,https://api.spotify.com/v1/audio-analysis/0Dit4xsY3yFY73b19VxsYE,162200.0,4.0
version,clinton fearon,0.74,0.273,0.0,-18.674,1.0,0.0795,0.0279,0.0186,0.0756,0.9,165.261,audio_features,7l7qkt9cvhBN9LtZzF8pdT,spotify:track:7l7qkt9cvhBN9LtZzF8pdT,https://api.spotify.com/v1/tracks/7l7qkt9cvhBN9LtZzF8pdT,https://api.spotify.com/v1/audio-analysis/7l7qkt9cvhBN9LtZzF8pdT,457120.0,3.0
siberian breaks,mgmt,0.305,0.77,2.0,-6.694,1.0,0.0276,0.062,0.203,0.0976,0.374,107.367,audio_features,2wNK1PjIS9NbBIchakaL7k,spotify:track:2wNK1PjIS9NbBIchakaL7k,https://api.spotify.com/v1/tracks/2wNK1PjIS9NbBIchakaL7k,https://api.spotify.com/v1/audio-analysis/2wNK1PjIS9NbBIchakaL7k,729680.0,4.0
i feel the same,bonnie raitt,0.55,0.349,7.0,-14.446,1.0,0.0386,0.227,0.0259,0.0429,0.553,78.639,audio_features,0R5BQ3uQkPKITB7rDgNUhh,spotify:track:0R5BQ3uQkPKITB7rDgNUhh,https://api.spotify.com/v1/tracks/0R5BQ3uQkPKITB7rDgNUhh,https://api.spotify.com/v1/audio-analysis/0R5BQ3uQkPKITB7rDgNUhh,279533.0,4.0
dead on arrival,billy idol,0.669,0.788,4.0,-4.715,1.0,0.0366,0.00766,4.09e-05,0.387,0.828,143.388,audio_features,7moS0kYQ3AEQF79F1TW2br,spotify:track:7moS0kYQ3AEQF79F1TW2br,https://api.spotify.com/v1/tracks/7moS0kYQ3AEQF79F1TW2br,https://api.spotify.com/v1/audio-analysis/7moS0kYQ3AEQF79F1TW2br,234320.0,4.0
spirits will collide,devin townsend,0.351,0.675,3.0,-10.073,1.0,0.0343,0.00272,0.000122,0.407,0.335,168.016,audio_features,3Woz4yXgXOSTs6Yc0Oh2Es,spotify:track:3Woz4yXgXOSTs6Yc0Oh2Es,https://api.spotify.com/v1/tracks/3Woz4yXgXOSTs6Yc0Oh2Es,https://api.spotify.com/v1/audio-analysis/3Woz4yXgXOSTs6Yc0Oh2Es,279912.0,4.0
putty in your hands,the shirelles,0.784,0.551,3.0,-13.201,1.0,0.0369,0.719,4.32e-05,0.15,0.964,117.737,audio_features,6VNZ2wD3ylpNKHZcz5RluU,spotify:track:6VNZ2wD3ylpNKHZcz5RluU,https://api.spotify.com/v1/tracks/6VNZ2wD3ylpNKHZcz5RluU,https://api.spotify.com/v1/audio-analysis/6VNZ2wD3ylpNKHZcz5RluU,149133.0,4.0
just say goodbye,esther phillips,0.717,0.465,2.0,-12.027,0.0,0.0556,0.754,5.06e-05,0.557,0.823,109.354,audio_features,5HiI5koKreGVsXAB5F0uuw,spotify:track:5HiI5koKreGVsXAB5F0uuw,https://api.spotify.com/v1/tracks/5HiI5koKreGVsXAB5F0uuw,https://api.spotify.com/v1/audio-analysis/5HiI5koKreGVsXAB5F0uuw,137707.0,4.0
i'm one,the who,0.448,0.948,11.0,-7.546,0.0,0.098,0.0903,0.00488,0.424,0.378,121.424,audio_features,6kAHWX3CMLZvXBxQa3nSuK,spotify:track:6kAHWX3CMLZvXBxQa3nSuK,https://api.spotify.com/v1/tracks/6kAHWX3CMLZvXBxQa3nSuK,https://api.spotify.com/v1/audio-analysis/6kAHWX3CMLZvXBxQa3nSuK,144813.0,4.0
waking the demon,bullet for my valentine,0.306,0.995,2.0,-3.203,1.0,0.1,2.98e-05,0.00859,0.254,0.135,127.908,audio_features,1ZEoYuekZQo62DLFtPVdqT,spotify:track:1ZEoYuekZQo62DLFtPVdqT,https://api.spotify.com/v1/tracks/1ZEoYuekZQo62DLFtPVdqT,https://api.spotify.com/v1/audio-analysis/1ZEoYuekZQo62DLFtPVdqT,247693.0,4.0
no more hot dogs,hasil adkins,0.566,0.984,4.0,-2.459,0.0,0.149,0.805,2.19e-05,0.354,0.501,158.712,audio_features,5ZeMGAJVrndrE0pVLo593J,spotify:track:5ZeMGAJVrndrE0pVLo593J,https://api.spotify.com/v1/tracks/5ZeMGAJVrndrE0pVLo593J,https://api.spotify.com/v1/audio-analysis/5ZeMGAJVrndrE0pVLo593J,127773.0,4.0
changes,langhorne slim,0.668,0.367,11.0,-11.002,1.0,0.0285,0.891,0.00521,0.103,0.342,110.21,audio_features,0gKiONJeEtwb3hps4sUgyn,spotify:track:0gKiONJeEtwb3hps4sUgyn,https://api.spotify.com/v1/tracks/0gKiONJeEtwb3hps4sUgyn,https://api.spotify.com/v1/audio-analysis/0gKiONJeEtwb3hps4sUgyn,161907.0,4.0
it's great to be alive,johnny mercer,0.686,0.125,7.0,-11.24,0.0,0.0401,0.843,0.0,0.251,0.737,137.16,audio_features,2p3cXXYanIC5feWf5sFPhU,spotify:track:2p3cXXYanIC5feWf5sFPhU,https://api.spotify.com/v1/tracks/2p3cXXYanIC5feWf5sFPhU,https://api.spotify.com/v1/audio-analysis/2p3cXXYanIC5feWf5sFPhU,167933.0,4.0
pavane,regina carter,0.337,0.23,0.0,-16.269,1.0,0.0494,0.59,0.0229,0.109,0.126,76.705,audio_features,1IdTBf0QfIvl4giLRuNOk0,spotify:track:1IdTBf0QfIvl4giLRuNOk0,https://api.spotify.com/v1/tracks/1IdTBf0QfIvl4giLRuNOk0,https://api.spotify.com/v1/audio-analysis/1IdTBf0QfIvl4giLRuNOk0,324573.0,4.0
on trial,haystak,0.561,0.705,2.0,-6.397,1.0,0.599,0.0476,0.0,0.105,0.619,85.734,audio_features,5cSPGg3RE5zWAv6mIrufMZ,spotify:track:5cSPGg3RE5zWAv6mIrufMZ,https://api.spotify.com/v1/tracks/5cSPGg3RE5zWAv6mIrufMZ,https://api.spotify.com/v1/audio-analysis/5cSPGg3RE5zWAv6mIrufMZ,202933.0,5.0
i woke up in love this morning,david cassidy,0.584,0.552,11.0,-12.36,0.0,0.0341,0.281,0.0,0.0842,0.71,137.587,audio_features,4NfNr2aOxfZkkDHue5gjKf,spotify:track:4NfNr2aOxfZkkDHue5gjKf,https://api.spotify.com/v1/tracks/4NfNr2aOxfZkkDHue5gjKf,https://api.spotify.com/v1/audio-analysis/4NfNr2aOxfZkkDHue5gjKf,160573.0,4.0
isolation,joe cocker,0.608,0.2,2.0,-16.85,1.0,0.0386,0.187,5.61e-05,0.0885,0.243,131.984,audio_features,1JlZVLefhkfycX8WfJdlSR,spotify:track:1JlZVLefhkfycX8WfJdlSR,https://api.spotify.com/v1/tracks/1JlZVLefhkfycX8WfJdlSR,https://api.spotify.com/v1/audio-analysis/1JlZVLefhkfycX8WfJdlSR,232107.0,3.0
away from me,puddle of mudd,0.388,0.943,8.0,-2.927,1.0,0.104,0.000306,0.0,0.168,0.162,154.721,audio_features,0UGsSjbp8vhm8QfNOIdmMy,spotify:track:0UGsSjbp8vhm8QfNOIdmMy,https://api.spotify.com/v1/tracks/0UGsSjbp8vhm8QfNOIdmMy,https://api.spotify.com/v1/audio-analysis/0UGsSjbp8vhm8QfNOIdmMy,238467.0,4.0
disguise,dirty heads,0.735,0.846,7.0,-5.835,1.0,0.03,0.016,0.00014,0.0877,0.652,96.018,audio_features,7iRKabmbdgp3N8eTXM1VZr,spotify:track:7iRKabmbdgp3N8eTXM1VZr,https://api.spotify.com/v1/tracks/7iRKabmbdgp3N8eTXM1VZr,https://api.spotify.com/v1/audio-analysis/7iRKabmbdgp3N8eTXM1VZr,206896.0,4.0
soul stripper,ac/dc,0.616,0.833,4.0,-5.358,1.0,0.0747,0.00052,0.0904,0.172,0.73,130.9,audio_features,0HQE2SbrXTX849UcgfXLad,spotify:track:0HQE2SbrXTX849UcgfXLad,https://api.spotify.com/v1/tracks/0HQE2SbrXTX849UcgfXLad,https://api.spotify.com/v1/audio-analysis/0HQE2SbrXTX849UcgfXLad,385013.0,4.0
modern man,bad religion,0.275,0.982,8.0,-3.169,1.0,0.178,0.000175,0.0,0.121,0.378,162.134,audio_features,4OPFX9TRHlEz1M5JGCvoiL,spotify:track:4OPFX9TRHlEz1M5JGCvoiL,https://api.spotify.com/v1/tracks/4OPFX9TRHlEz1M5JGCvoiL,https://api.spotify.com/v1/audio-analysis/4OPFX9TRHlEz1M5JGCvoiL,117333.0,4.0
me and jesus (extra special bonus track),brad paisley,0.485,0.282,7.0,-8.949,1.0,0.0298,0.432,0.0,0.11,0.406,139.136,audio_features,6a0zu7tOqPUHQfoP7YJ9nS,spotify:track:6a0zu7tOqPUHQfoP7YJ9nS,https://api.spotify.com/v1/tracks/6a0zu7tOqPUHQfoP7YJ9nS,https://api.spotify.com/v1/audio-analysis/6a0zu7tOqPUHQfoP7YJ9nS,201707.0,4.0
high tide or low tide,bob marley & the wailers,0.692,0.38,9.0,-9.803,1.0,0.0277,0.233,0.000741,0.103,0.498,90.629,audio_features,2P7dqEsGAvdVBCWeycm0vI,spotify:track:2P7dqEsGAvdVBCWeycm0vI,https://api.spotify.com/v1/tracks/2P7dqEsGAvdVBCWeycm0vI,https://api.spotify.com/v1/audio-analysis/2P7dqEsGAvdVBCWeycm0vI,282533.0,4.0
butt ugly slut,roger alan wade,0.557,0.293,4.0,-14.387,1.0,0.0573,0.893,0.0,0.11,0.854,136.599,audio_features,5rtGkBfghA7kPeg8o1PKw3,spotify:track:5rtGkBfghA7kPeg8o1PKw3,https://api.spotify.com/v1/tracks/5rtGkBfghA7kPeg8o1PKw3,https://api.spotify.com/v1/audio-analysis/5rtGkBfghA7kPeg8o1PKw3,113253.0,4.0
no easy way down,dusty springfield,0.36,0.439,7.0,-10.607,1.0,0.0304,0.415,0.0,0.0792,0.458,138.351,audio_features,6CAkmqFlO5S3o0QDUuzcYr,spotify:track:6CAkmqFlO5S3o0QDUuzcYr,https://api.spotify.com/v1/tracks/6CAkmqFlO5S3o0QDUuzcYr,https://api.spotify.com/v1/audio-analysis/6CAkmqFlO5S3o0QDUuzcYr,191827.0,3.0
black is the color of my true love's hair,nina simone,0.288,0.0534,9.0,-21.689,0.0,0.0443,0.986,0.00394,0.0945,0.125,136.902,audio_features,33WjZmABjWk4zrerZiFLJ7,spotify:track:33WjZmABjWk4zrerZiFLJ7,https://api.spotify.com/v1/tracks/33WjZmABjWk4zrerZiFLJ7,https://api.spotify.com/v1/audio-analysis/33WjZmABjWk4zrerZiFLJ7,204440.0,1.0
beetlebum,blur,0.542,0.627,0.0,-7.105,1.0,0.0243,0.0794,0.000517,0.277,0.814,89.734,audio_features,4OHVCeQYPncEwZOtNAJZZx,spotify:track:4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/tracks/4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/audio-analysis/4OHVCeQYPncEwZOtNAJZZx,305213.0,4.0
honest opinion,alpha & omega,0.794,0.254,1.0,-16.76,1.0,0.0469,0.19,0.65,0.0781,0.16,131.737,audio_features,4M0u1UX3jKB7MNoTU6nZwg,spotify:track:4M0u1UX3jKB7MNoTU6nZwg,https://api.spotify.com/v1/tracks/4M0u1UX3jKB7MNoTU6nZwg,https://api.spotify.com/v1/audio-analysis/4M0u1UX3jKB7MNoTU6nZwg,224307.0,4.0
till the walls come tumblin' down,the j. geils band,0.533,0.677,7.0,-6.675,0.0,0.0385,0.00119,0.00019,0.258,0.673,119.888,audio_features,5p93xQCbw0ZZxCML17PErR,spotify:track:5p93xQCbw0ZZxCML17PErR,https://api.spotify.com/v1/tracks/5p93xQCbw0ZZxCML17PErR,https://api.spotify.com/v1/audio-analysis/5p93xQCbw0ZZxCML17PErR,244747.0,4.0
my favorite ladies,mf doom,0.753,0.673,11.0,-6.883,0.0,0.256,0.03,0.0,0.302,0.615,100.046,audio_features,1BQ7NbAotfutwilc1ErwYz,spotify:track:1BQ7NbAotfutwilc1ErwYz,https://api.spotify.com/v1/tracks/1BQ7NbAotfutwilc1ErwYz,https://api.spotify.com/v1/audio-analysis/1BQ7NbAotfutwilc1ErwYz,166640.0,4.0
the song is ended (but the melody lingers on),nat king cole,0.519,0.228,0.0,-12.795,1.0,0.0539,0.693,0.0,0.136,0.345,111.39,audio_features,3w3EjnBINTADx3JHF3aiiy,spotify:track:3w3EjnBINTADx3JHF3aiiy,https://api.spotify.com/v1/tracks/3w3EjnBINTADx3JHF3aiiy,https://api.spotify.com/v1/audio-analysis/3w3EjnBINTADx3JHF3aiiy,166840.0,4.0
